id,missing_count,hallucinated_count,contradictions_count,ref_precision,ref_recall,ref_f1,bleu,rouge_l_f
ex_000000,0,0,0,0.0,0.0,0.0,0.9884118727773189,0.9954128440366973
ex_000001,0,0,0,0.0,0.0,0.0,0.953902781775434,0.9818181818181818
ex_000002,1,6,3,0.9,1.0,0.9473684210526316,0.9022559148198809,0.9612068965517241
ex_000003,0,0,0,0.0,0.0,0.0,0.40617010875402326,0.6933333333333334
ex_000004,0,0,0,0.0,0.0,0.0,0.9205293393086257,0.9668246445497631
ex_000005,3,0,0,0.0,0.0,0.0,0.6399180171146334,0.8185483870967742
ex_000006,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000007,0,0,0,1.0,1.0,1.0,0.9586674427585571,0.9836734693877551
ex_000008,1,0,0,1.0,0.5,0.6666666666666666,0.9425985015630477,0.975177304964539
ex_000009,0,0,0,1.0,1.0,1.0,0.9387914715199652,0.9743589743589743
ex_000010,0,0,0,0.0,0.0,0.0,0.7274714539432178,0.8679245283018868
ex_000011,1,1,0,1.0,0.5,0.6666666666666666,0.7438027320112872,0.8826291079812207
ex_000012,0,0,0,0.0,0.0,0.0,0.9898678591079547,0.9959839357429718
ex_000013,0,0,0,0.0,0.0,0.0,0.7429436895452913,0.8716814159292035
ex_000014,0,0,0,0.0,0.0,0.0,0.991430760607265,0.9965986394557823
ex_000015,0,0,0,0.0,0.0,0.0,0.6745737289721592,0.8361344537815126
ex_000016,0,0,0,1.0,1.0,1.0,0.9088607899178847,0.9602272727272727
ex_000017,1,1,0,1.0,1.0,1.0,0.9897008886139643,0.9959183673469387
ex_000018,0,0,0,0.0,0.0,0.0,0.3458438644883533,0.642570281124498
ex_000019,1,1,0,1.0,1.0,1.0,0.956698158279697,0.9829059829059829
ex_000020,0,0,0,0.0,0.0,0.0,0.12550121395300598,0.49291784702549574
ex_000021,0,0,0,0.0,0.0,0.0,0.9704959633297456,0.9883720930232558
ex_000022,4,1,0,1.0,0.3333333333333333,0.5,0.9499330973782646,0.9792899408284024
ex_000023,3,1,0,1.0,0.6666666666666666,0.8,0.4661249061522445,0.7232323232323232
ex_000024,0,0,0,1.0,1.0,1.0,0.9638247013600956,0.9846938775510204
ex_000025,0,0,0,1.0,1.0,1.0,0.975900622784286,0.9904761904761905
ex_000026,0,0,2,1.0,1.0,1.0,0.9499331058698608,0.9802371541501976
ex_000027,0,0,0,0.0,0.0,0.0,0.9807306533847826,0.9923664122137404
ex_000028,0,0,0,0.0,0.0,0.0,0.7449041673256009,0.8711340206185567
ex_000029,0,1,0,0.6666666666666666,1.0,0.8,0.9105402046203389,0.96484375
ex_000030,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000031,0,3,0,1.0,0.75,0.8571428571428571,0.7982784830605094,0.9013035381750465
ex_000032,0,0,0,0.0,0.0,0.0,0.7204601787944885,0.8638743455497382
ex_000033,1,0,0,0.0,0.0,0.0,0.2803436434099056,0.6112956810631229
ex_000034,0,0,0,1.0,1.0,1.0,0.9696617178750317,0.988
ex_000035,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000036,0,0,0,0.0,0.0,0.0,0.9896153224618992,0.9958847736625515
ex_000037,0,0,0,0.0,0.0,0.0,0.29865992623472365,0.6211180124223603
ex_000038,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000039,0,0,0,0.0,0.0,0.0,0.8013882352906563,0.9041095890410958
ex_000040,0,0,0,1.0,0.5,0.6666666666666666,0.4094843393126407,0.6858638743455499
ex_000041,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000042,3,2,1,1.0,0.6923076923076923,0.8181818181818181,0.8837229472679444,0.9523809523809523
