id,missing_count,hallucinated_count,contradictions_count,ref_precision,ref_recall,ref_f1,bleu,rouge_l_f
ex_000000,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000001,0,3,2,1.0,1.0,1.0,0.9837380598312618,0.9935897435897436
ex_000002,2,4,1,0.7142857142857143,1.0,0.8333333333333333,0.9502300465755541,0.9772727272727272
ex_000003,1,0,0,0.0,0.0,0.0,1.0,1.0
ex_000004,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000005,0,4,1,0.5,1.0,0.6666666666666666,0.9778184707349202,0.9888475836431226
ex_000006,1,5,1,0.5,0.6666666666666666,0.5714285714285715,0.900257863183409,0.9567307692307693
ex_000007,0,2,1,0.5,1.0,0.6666666666666666,0.9703694533294696,0.9850746268656716
ex_000008,0,2,1,0.0,0.0,0.0,0.9697723258380525,0.9847715736040609
ex_000009,0,4,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.9302804791419792,0.9694323144104803
ex_000010,2,4,1,0.7142857142857143,1.0,0.8333333333333333,0.9665724968624246,0.9831460674157304
ex_000011,0,2,0,1.0,1.0,1.0,0.9918763024492429,0.9967741935483871
ex_000012,5,0,0,1.0,1.0,1.0,0.9727477073083765,0.989247311827957
ex_000013,0,2,1,0.5,1.0,0.6666666666666666,0.9534111697003065,0.9792387543252594
ex_000014,0,2,1,0.6666666666666666,1.0,0.8,0.976516178965115,0.9881889763779527
ex_000015,0,2,1,0.3333333333333333,1.0,0.5,0.9486233122577067,0.9770992366412213
ex_000016,0,0,0,1.0,1.0,1.0,0.9886743726872161,0.9955156950672646
ex_000017,1,2,3,1.0,1.0,1.0,1.0,1.0
ex_000018,0,2,1,0.0,0.0,0.0,0.9679568760628093,0.9848484848484848
ex_000019,0,2,1,0.0,0.0,0.0,0.9671220327404443,0.9834254143646408
ex_000020,0,2,1,0.0,0.0,0.0,0.9606963205186141,0.9813953488372092
ex_000021,0,3,1,0.5714285714285714,0.8,0.6666666666666666,0.8907171067223422,0.9530516431924883
ex_000022,0,2,5,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.951488093320072,0.9808429118773946
ex_000023,0,2,0,1.0,1.0,1.0,0.9334432316819987,0.9737991266375546
ex_000024,0,0,0,1.0,1.0,1.0,0.9792080626531453,0.9917695473251029
ex_000025,0,2,1,0.0,0.0,0.0,0.9681686230331032,0.983957219251337
ex_000026,0,1,6,1.0,1.0,1.0,0.9884653417767986,0.9954337899543378
ex_000027,0,2,1,0.6666666666666666,0.8571428571428571,0.75,0.9531952054176321,0.9786324786324785
ex_000028,0,3,1,0.6,1.0,0.7499999999999999,0.9633010035075459,0.9814814814814815
ex_000029,0,2,1,0.0,0.0,0.0,0.9813951231131101,0.9906542056074767
ex_000030,1,2,0,1.0,1.0,1.0,0.9805052443647445,0.9922779922779923
ex_000031,0,3,0,1.0,1.0,1.0,1.0,1.0
ex_000032,0,2,1,0.0,0.0,0.0,0.9467569555607587,0.9766666666666668
ex_000033,1,2,1,0.6666666666666666,1.0,0.8,0.9702223942279784,0.985
ex_000034,1,3,1,0.7777777777777778,1.0,0.8750000000000001,0.9159895176084452,0.9636363636363637
ex_000035,0,2,1,0.6923076923076923,0.8181818181818182,0.7500000000000001,0.9625881154761236,0.9829351535836178
ex_000036,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000037,1,2,0,1.0,1.0,1.0,0.9769026799340423,0.9908675799086758
ex_000038,1,2,1,0.0,0.0,0.0,0.9356755365695376,0.9705882352941175
ex_000039,0,2,1,0.3333333333333333,1.0,0.5,0.9465903704628397,0.9761904761904762
ex_000040,0,2,0,1.0,1.0,1.0,0.9889740890659162,0.9956331877729258
ex_000041,0,4,1,0.75,1.0,0.8571428571428571,0.9545491102836158,0.979253112033195
ex_000042,0,7,2,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.953902781775434,0.9818181818181818
ex_000043,0,2,1,0.8,1.0,0.888888888888889,0.9774007245540284,0.9886363636363636
ex_000044,1,1,0,1.0,1.0,1.0,0.9775256664257702,0.9911111111111112
ex_000045,0,4,1,0.6666666666666666,0.8571428571428571,0.75,0.9290458543759015,0.9695945945945945
ex_000046,1,3,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.950230740636366,0.9803921568627451
ex_000047,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000048,1,4,1,0.8333333333333334,1.0,0.9090909090909091,0.9438226596945237,0.974468085106383
ex_000049,0,0,0,0.0,0.0,0.0,0.989165239499248,0.9957081545064378
ex_000050,0,2,1,0.5,1.0,0.6666666666666666,0.9456030823624149,0.9741935483870968
ex_000051,0,1,0,1.0,1.0,1.0,0.9627243159931099,0.9852941176470589
ex_000052,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000053,0,3,1,0.3333333333333333,1.0,0.5,0.9633363463844226,0.983277591973244
ex_000054,1,4,1,0.5,0.75,0.6,0.9172140718235046,0.9631336405529953
ex_000055,0,5,1,0.75,1.0,0.8571428571428571,0.975154740212482,0.9875
ex_000056,0,2,1,0.7142857142857143,1.0,0.8333333333333333,0.9678272427652553,0.9837837837837838
ex_000057,0,0,0,0.0,0.0,0.0,0.9780197117210739,0.991304347826087
